Disease,Symptoms,Specialization,Description,Precautions
Common Cold,"fever,cough,runny nose,sore throat,sneezing,fatigue",General Physician,Viral infection of upper respiratory tract,"rest,drink fluids,avoid cold exposure,maintain hygiene"
Influenza,"high fever,body aches,headache,fatigue,cough,sore throat,chills",General Physician,Viral infection causing respiratory illness,"rest,antiviral medication,drink fluids,isolate yourself"
COVID-19,"fever,dry cough,fatigue,loss of taste,loss of smell,difficulty breathing,body aches",General Physician,Coronavirus respiratory infection,"isolate,rest,monitor oxygen levels,seek medical help if severe"
Pneumonia,"high fever,chest pain,cough with phlegm,difficulty breathing,fatigue,chills",General Physician,Lung infection causing inflammation,"antibiotics,rest,drink fluids,hospitalization if severe"
Bronchitis,"persistent cough,mucus production,fatigue,chest discomfort,shortness of breath",General Physician,Inflammation of bronchial tubes,"rest,drink fluids,avoid smoking,use humidifier"
Asthma,"wheezing,shortness of breath,chest tightness,coughing,difficulty breathing",General Physician,Chronic respiratory condition,"use inhaler,avoid triggers,regular checkups,emergency plan"
Tuberculosis,"persistent cough,chest pain,coughing blood,fever,night sweats,weight loss,fatigue",General Physician,Bacterial lung infection,"antibiotics for months,isolation,nutritious diet,rest"
Migraine,"severe headache,nausea,vomiting,sensitivity to light,sensitivity to sound,visual disturbances",Neurologist,Severe recurring headaches,"rest in dark room,pain medication,avoid triggers,stress management"
Tension Headache,"dull headache,pressure around forehead,neck pain,shoulder pain,fatigue",Neurologist,Common stress-related headache,"rest,pain relievers,stress management,massage"
Stroke,"sudden numbness,confusion,trouble speaking,vision problems,severe headache,loss of balance,dizziness",Neurologist,Brain blood flow disruption,"immediate emergency care,rehabilitation,medication,lifestyle changes"
Epilepsy,"seizures,loss of consciousness,muscle spasms,confusion,staring spells",Neurologist,Neurological disorder causing seizures,"anti-seizure medication,avoid triggers,regular monitoring,safety precautions"
Parkinson Disease,"tremors,slow movement,rigid muscles,impaired balance,speech changes",Neurologist,Progressive nervous system disorder,"medication,physical therapy,exercise,support groups"
Alzheimer Disease,"memory loss,confusion,difficulty speaking,mood changes,disorientation,poor judgment",Neurologist,Progressive brain disorder,"medication,cognitive therapy,support,safe environment"
Heart Attack,"chest pain,shortness of breath,nausea,cold sweat,pain in arm,jaw pain,dizziness",Cardiologist,Blocked blood flow to heart,"immediate emergency care,medication,lifestyle changes,cardiac rehabilitation"
Angina,"chest pain,pressure in chest,pain in arms,shortness of breath,fatigue,dizziness",Cardiologist,Reduced blood flow to heart,"medication,rest,avoid stress,lifestyle changes"
Hypertension,"headache,dizziness,blurred vision,chest pain,shortness of breath,nosebleeds",Cardiologist,High blood pressure,"medication,low salt diet,exercise,stress management"
Heart Failure,"shortness of breath,fatigue,swelling in legs,rapid heartbeat,persistent cough,reduced exercise ability",Cardiologist,Heart cannot pump enough blood,"medication,low salt diet,fluid restriction,regular monitoring"
Arrhythmia,"irregular heartbeat,palpitations,dizziness,chest pain,shortness of breath,fainting",Cardiologist,Irregular heart rhythm,"medication,lifestyle changes,avoid caffeine,stress management"
Atrial Fibrillation,"irregular heartbeat,palpitations,fatigue,dizziness,chest pain,shortness of breath",Cardiologist,Irregular rapid heart rate,"blood thinners,rate control medication,cardioversion,lifestyle changes"
Eczema,"itchy skin,red patches,dry skin,skin inflammation,rash,cracked skin",Dermatologist,Inflammatory skin condition,"moisturize,avoid triggers,topical steroids,antihistamines"
Psoriasis,"red patches,silvery scales,dry cracked skin,itching,burning,thick nails",Dermatologist,Autoimmune skin condition,"topical treatments,phototherapy,avoid triggers,moisturize"
Acne,"pimples,blackheads,whiteheads,oily skin,red bumps,scarring",Dermatologist,Skin condition with clogged pores,"cleanse regularly,topical treatments,avoid touching face,healthy diet"
Skin Allergy,"itching,redness,hives,swelling,rash,burning sensation",Dermatologist,Allergic skin reaction,"antihistamines,avoid allergen,topical creams,cool compress"
Fungal Infection,"itching,redness,scaling,ring shaped rash,cracked skin,discoloration",Dermatologist,Fungal skin infection,"antifungal cream,keep area dry,avoid sharing items,good hygiene"
Melanoma,"new mole,changing mole,irregular borders,multiple colors,large size,itching",Dermatologist,Serious skin cancer,"immediate medical attention,surgery,regular skin checks,sun protection"
Arthritis,"joint pain,stiffness,swelling,reduced range of motion,fatigue,morning stiffness",Orthopedic,Joint inflammation,"pain medication,physical therapy,exercise,hot/cold therapy"
Osteoporosis,"back pain,loss of height,stooped posture,bone fractures,weak bones",Orthopedic,Weak brittle bones,"calcium supplements,vitamin D,exercise,fall prevention"
Fracture,"severe pain,swelling,bruising,deformity,inability to move,tenderness",Orthopedic,Broken bone,"immobilization,pain medication,surgery if needed,physical therapy"
Sprain,"pain,swelling,bruising,limited movement,tenderness,instability",Orthopedic,Stretched or torn ligament,"rest,ice,compression,elevation,pain medication"
Back Pain,"lower back pain,stiffness,muscle spasms,pain radiating to legs,difficulty standing",Orthopedic,Pain in back area,"rest,pain medication,physical therapy,exercise,posture correction"
Sciatica,"pain radiating down leg,numbness,tingling,weakness in leg,lower back pain",Orthopedic,Nerve pain from spine,"pain medication,physical therapy,stretching,avoid prolonged sitting"
Diabetes Type 1,"excessive thirst,frequent urination,extreme hunger,weight loss,fatigue,blurred vision",General Physician,Autoimmune condition affecting insulin,"insulin therapy,blood sugar monitoring,healthy diet,exercise"
Diabetes Type 2,"increased thirst,frequent urination,increased hunger,fatigue,blurred vision,slow healing wounds",General Physician,Insulin resistance condition,"medication,diet control,exercise,weight management,blood sugar monitoring"
Hyperthyroidism,"weight loss,rapid heartbeat,increased appetite,nervousness,tremors,sweating,fatigue",General Physician,Overactive thyroid gland,"medication,radioactive iodine,surgery,regular monitoring"
Hypothyroidism,"fatigue,weight gain,cold sensitivity,constipation,dry skin,depression,muscle weakness",General Physician,Underactive thyroid gland,"thyroid hormone replacement,regular monitoring,healthy diet"
Anemia,"fatigue,weakness,pale skin,shortness of breath,dizziness,cold hands,headache",General Physician,Low red blood cell count,"iron supplements,vitamin B12,healthy diet,treat underlying cause"
Gastritis,"stomach pain,nausea,vomiting,bloating,loss of appetite,indigestion",General Physician,Stomach lining inflammation,"antacids,avoid spicy food,small meals,stress management"
GERD,"heartburn,chest pain,difficulty swallowing,regurgitation,sour taste,chronic cough",General Physician,Acid reflux disease,"medication,avoid trigger foods,elevate head while sleeping,weight loss"
Irritable Bowel Syndrome,"abdominal pain,bloating,diarrhea,constipation,gas,cramping",General Physician,Digestive disorder,"dietary changes,stress management,medication,probiotics"
Kidney Stones,"severe pain in side,pain in back,painful urination,blood in urine,nausea,vomiting",General Physician,Hard deposits in kidneys,"drink water,pain medication,medical procedures if large,dietary changes"
Urinary Tract Infection,"burning urination,frequent urination,cloudy urine,pelvic pain,strong urine odor,fever",General Physician,Bacterial infection in urinary system,"antibiotics,drink water,cranberry juice,good hygiene"
Chickenpox,"itchy rash,red spots,blisters,fever,fatigue,loss of appetite,headache",Pediatrician,Viral infection causing rash,"rest,calamine lotion,antihistamines,avoid scratching,isolation"
Measles,"high fever,cough,runny nose,red eyes,white spots in mouth,red rash",Pediatrician,Highly contagious viral infection,"rest,fever medication,drink fluids,vitamin A,isolation"
Mumps,"swollen salivary glands,fever,headache,muscle aches,fatigue,loss of appetite,pain while chewing",Pediatrician,Viral infection of salivary glands,"rest,pain medication,soft foods,warm/cold compress,isolation"
Whooping Cough,"severe coughing fits,whooping sound,vomiting after coughing,fatigue,runny nose,fever",Pediatrician,Bacterial respiratory infection,"antibiotics,rest,small meals,humidifier,avoid irritants"
Hand Foot Mouth Disease,"fever,sore throat,mouth sores,rash on hands,rash on feet,loss of appetite,irritability",Pediatrician,Viral infection in children,"rest,pain medication,soft foods,drink fluids,good hygiene"
Tonsillitis,"sore throat,difficulty swallowing,swollen tonsils,fever,bad breath,ear pain",Pediatrician,Inflammation of tonsils,"antibiotics if bacterial,pain medication,warm liquids,rest,gargle salt water"
Ear Infection,"ear pain,difficulty hearing,fluid drainage,fever,irritability,trouble sleeping",Pediatrician,Infection in middle ear,"antibiotics,pain medication,warm compress,rest"
Conjunctivitis,"red eyes,itching,discharge,tearing,sensitivity to light,gritty feeling",General Physician,Eye inflammation or infection,"antibiotic drops,avoid touching eyes,clean discharge,avoid sharing items"
Sinusitis,"facial pain,nasal congestion,thick nasal discharge,reduced sense of smell,headache,cough",General Physician,Sinus inflammation,"decongestants,nasal irrigation,steam inhalation,antibiotics if bacterial"
Allergic Rhinitis,"sneezing,runny nose,itchy nose,nasal congestion,watery eyes,postnasal drip",General Physician,Hay fever allergic reaction,"antihistamines,avoid allergens,nasal sprays,allergy shots"
Anxiety Disorder,"excessive worry,restlessness,fatigue,difficulty concentrating,irritability,muscle tension,sleep problems",Neurologist,Mental health condition,"therapy,medication,relaxation techniques,exercise,stress management"
Depression,"persistent sadness,loss of interest,fatigue,sleep changes,appetite changes,difficulty concentrating,hopelessness",Neurologist,Mental health disorder,"therapy,medication,exercise,support groups,healthy lifestyle"
Insomnia,"difficulty falling asleep,waking up often,waking too early,daytime fatigue,irritability,difficulty concentrating",Neurologist,Sleep disorder,"sleep hygiene,relaxation techniques,avoid caffeine,regular schedule,therapy"
